Pulsar ID,Pulsar Class,Age,Period (P),Period Derivative (P˙),Magnetic Field (B),Initial Period (Pinit​),Initial B Field (Binit​),Galactic Longitude (l),Galactic Latitude (b),Distance,Dispersion Measure (DM),"Proper Motion (μl​,μb​)",Kick Velocity,Is Binary,Orbital Period (Pb​),Companion Mass (Mc​),Eccentricity (e),Radio Luminosity (L1400​),Single-Pulse Lum. Dist.,Radio Beaming Fraction,Viewing Angle (ζ),Inclination Angle (α),Nulling Fraction (NF)
J0024-7204C,,,5.756780e-03,-4.985030e-20,,,,3.059235e+02,-4.489218e+01,4.520000e+00,2.459090e+01,,1.250718e+02,,,,,,,,,,
J0024-7204D,,,5.357573e-03,-3.422042e-21,,,,3.058806e+02,-4.489331e+01,4.520000e+00,2.474120e+01,,1.250718e+02,,,,,,,,,,
J0024-7204E,,5.687705e+08,3.536329e-03,9.851030e-20,5.972651e+08,,,3.058835e+02,-4.488281e+01,4.520000e+00,2.423960e+01,,1.250718e+02,DD,,,3.159000e-04,,,,,,
J0024-7204F,,6.444382e+08,2.623579e-03,6.450286e-20,4.162810e+08,,,3.058986e+02,-4.489168e+01,4.520000e+00,2.438410e+01,,1.250718e+02,,,,,,,,,,
J0024-7204G,,,4.040379e-03,-4.215844e-20,,,,3.058915e+02,-4.489332e+01,4.520000e+00,2.443430e+01,,1.250718e+02,,,,,,,,,,
J0024-7204H,,,3.210341e-03,-1.829366e-21,,,,3.058956e+02,-4.490211e+01,4.520000e+00,2.437500e+01,,1.250718e+02,DD,,,7.055800e-02,,,,,,
J0024-7204I,,,3.484992e-03,-4.587352e-20,,,,3.058915e+02,-4.489332e+01,4.520000e+00,2.443030e+01,,1.250718e+02,ELL1,,,,,,,,,
J0024-7204J,,,2.100634e-03,-9.791695e-21,,,,3.059092e+02,-4.490291e+01,4.520000e+00,2.459370e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204L,,,4.346168e-03,-1.220449e-19,,,,3.058980e+02,-4.488779e+01,4.520000e+00,2.439860e+01,,1.250718e+02,,,,,,,,,,
J0024-7204M,,,3.676643e-03,-3.841867e-20,,,,3.059126e+02,-4.487671e+01,4.520000e+00,2.442600e+01,,1.250718e+02,,,,,,,,,,
J0024-7204N,,,3.053954e-03,-2.185697e-20,,,,3.058899e+02,-4.489652e+01,4.520000e+00,2.455680e+01,,1.250718e+02,,,,,,,,,,
J0024-7204O,,1.379973e+09,2.643343e-03,3.034932e-20,2.866165e+08,,,3.058966e+02,-4.488882e+01,4.520000e+00,2.435800e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204P,,8.698300e+07,3.643021e-03,6.635800e-19,1.573358e+09,,,3.058716e+02,-4.490378e+01,4.520000e+00,2.429000e+01,,1.250718e+02,BT,,,,,,,,,
J0024-7204Q,,1.878999e+09,4.033181e-03,3.400848e-20,3.747723e+08,,,3.058770e+02,-4.489894e+01,4.520000e+00,2.427940e+01,,1.250718e+02,ELL1,,,8.028076e-05,,,,,,
J0024-7204R,,3.717149e+08,3.480463e-03,1.483519e-19,7.271349e+08,,,3.058915e+02,-4.489031e+01,4.520000e+00,2.436100e+01,,1.250718e+02,ELL1,,,1.044031e-04,,,,,,
J0024-7204S,,,2.830406e-03,-1.205413e-19,,,,3.058984e+02,-4.489183e+01,4.520000e+00,2.438179e+01,,1.250718e+02,ELL1,,,3.975550e-04,,,,,,
J0024-7204T,,4.092251e+08,7.588480e-03,2.938046e-19,1.510973e+09,,,3.058905e+02,-4.489364e+01,4.520000e+00,2.442100e+01,,1.250718e+02,ELL1,,,4.003124e-04,,,,,,
J0024-7204U,,7.225608e+08,4.342827e-03,9.522788e-20,6.507562e+08,,,3.058905e+02,-4.490467e+01,4.520000e+00,2.434000e+01,,1.250718e+02,ELL1,,,1.459109e-04,,,,,,
J0024-7204V,,,4.810168e-03,,,,,3.058948e+02,-4.488933e+01,4.520000e+00,2.410500e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204W,,,2.352345e-03,-8.655263e-20,,,,3.058943e+02,-4.489038e+01,4.520000e+00,2.437000e+01,,1.250718e+02,BTX,,,,,,,,,
J0024-7204X,,4.117430e+09,4.771523e-03,1.836102e-20,2.995207e+08,,,3.058774e+02,-4.495163e+01,4.520000e+00,2.453800e+01,,1.250718e+02,ELL1,,,4.472136e-07,,,,,,
J0024-7204Y,,,2.196657e-03,-3.517211e-20,,,,3.059031e+02,-4.489148e+01,4.520000e+00,2.447500e+01,,1.250718e+02,ELL1,,,3.000000e-06,,,,,,
J0024-7204Z,,,4.554447e-03,-4.542715e-21,,,,3.058936e+02,-4.488697e+01,4.520000e+00,2.445000e+01,,1.250718e+02,,,,,,,,,,
J0024-7204aa,,,1.840000e-03,,,,,3.058948e+02,-4.488933e+01,4.520000e+00,2.492100e+01,,1.250718e+02,,,,,,,,,,
J0024-7204ab,,5.977374e+09,3.704639e-03,9.819775e-21,1.930073e+08,,,3.058906e+02,-4.489119e+01,4.520000e+00,2.432560e+01,,1.250718e+02,,,,,,,,,,
J0024-7204ac,,,2.740000e-03,,,,,3.058948e+02,-4.488934e+01,4.520000e+00,2.446000e+01,,1.250718e+02,BT,,,,,,,,,
J0024-7204ad,,,3.740000e-03,,,,,3.058948e+02,-4.488934e+01,4.520000e+00,2.441000e+01,,1.250718e+02,BT,,,,,,,,,
J0514-4002A,,1.133855e+11,4.990575e-03,6.973635e-22,5.969733e+07,,,2.445136e+02,-3.503624e+01,1.195000e+01,5.214020e+01,,1.272522e+02,DDH,,,8.879771e-01,,,,,,
J0514-4002B,,,2.816300e-03,,,,,2.445133e+02,-3.503608e+01,1.195000e+01,5.207600e+01,,1.272522e+02,,,,,,,,,,
J0514-4002C,,,5.564800e-03,,,,,2.445138e+02,-3.503627e+01,1.195000e+01,5.205300e+01,,1.272522e+02,,,,,,,,,,
J0514-4002D,,,4.554400e-03,,,,,2.445134e+02,-3.503610e+01,1.195000e+01,5.221900e+01,,1.272522e+02,BT,,,8.620000e-01,,,,,,
J0514-4002E,,,5.595947e-03,-2.285968e-30,,,,2.450185e+02,-3.236424e+01,1.195000e+01,5.193060e+01,,1.259936e+02,BT,,,7.079323e-01,,,,,,
J0514-4002F,,,4.329400e-03,,,,,2.445135e+02,-3.503620e+01,1.195000e+01,5.162000e+01,,1.272522e+02,BT,,,,,,,,,
J0514-4002G,,,3.802800e-03,,,,,2.445133e+02,-3.503641e+01,1.195000e+01,5.095900e+01,,1.272522e+02,BT,,,,,,,,,
J0514-4002H,,,5.506100e-03,,,,,2.445133e+02,-3.503650e+01,1.195000e+01,5.222600e+01,,1.272522e+02,BT,,,2.000000e-02,,,,,,
J0514-4002I,,,3.265420e-02,,,,,2.445134e+02,-3.503603e+01,1.195000e+01,5.258000e+01,,1.272522e+02,BT,,,9.800000e-03,,,,,,
J0514-4002J,,,6.632900e-03,,,,,2.445133e+02,-3.503618e+01,1.195000e+01,5.201700e+01,,1.272522e+02,,,,,,,,,,
J0514-4002K,,,4.692000e-03,,,,,2.445134e+02,-3.503587e+01,1.195000e+01,5.192800e+01,,1.272522e+02,,,,,,,,,,
J0514-4002L,,,2.958800e-03,,,,,2.445134e+02,-3.503587e+01,1.195000e+01,5.124500e+01,,1.272522e+02,BT,,,,,,,,,
J0514-4002M,,,4.797800e-03,,,,,2.445134e+02,-3.503587e+01,1.195000e+01,5.167800e+01,,1.272522e+02,,,,,,,,,,
J0514-4002N,,,5.567900e-03,,,,,2.445130e+02,-3.503615e+01,1.195000e+01,5.106800e+01,,1.272522e+02,,,,,,,,,,
J1312+1810A,,,3.316317e-02,,,,,3.329617e+02,7.976419e+01,1.805000e+01,2.500000e+01,,1.143564e+02,BT,,,,,,,,,
J1312+1810B,,,6.242263e-03,-1.745670e-20,,,,3.329510e+02,7.976464e+01,1.805000e+01,2.596000e+01,,1.143564e+02,DD,,,1.324170e-02,,,,,,
J1312+1810C,,3.773064e+09,1.253508e-02,5.263795e-20,8.219833e+08,,,3.329741e+02,7.976444e+01,1.805000e+01,2.619400e+01,,1.143564e+02,,,,,,,,,,
J1312+1810D,,4.251359e+09,6.069737e-03,2.262081e-20,3.749635e+08,,,3.329630e+02,7.976094e+01,1.805000e+01,2.461000e+01,,1.143564e+02,ELL1,,,1.400000e-05,,,,,,
J1312+1810E,,,3.972139e-03,-7.573386e-21,,,,3.329831e+02,7.976601e+01,2.500000e+01,2.587900e+01,,,ELL1,,,9.000000e-06,,,,,,
J1326-4728A,,2.377397e+09,4.108786e-03,2.738281e-20,3.394265e+08,,,3.090766e+02,1.494783e+01,5.430000e+00,1.002899e+02,,2.214535e+02,,,,,,,,,,
J1326-4728B,,,4.791869e-03,-5.432812e-20,,,,3.091070e+02,1.495675e+01,5.430000e+00,1.002500e+02,,2.199521e+02,ELL1,,,8.485281e-01,,,,,,
J1326-4728C,,1.109127e+10,6.867860e-03,9.810839e-21,2.626720e+08,,,3.091214e+02,1.494161e+01,5.430000e+00,1.006400e+02,,1.648385e+02,,,,,,,,,,
J1326-4728D,,,4.578833e-03,-4.109280e-20,,,,3.090602e+02,1.497578e+01,5.430000e+00,9.651800e+01,,1.726923e+02,,,,,,,,,,
J1326-4728E,,4.095576e+09,4.207717e-03,1.627787e-20,2.648330e+08,,,3.090921e+02,1.499274e+01,5.430000e+00,9.436900e+01,,2.079490e+02,,,,,,,,,,
J1342+2822A,,,2.544738e-03,,,,,4.221937e+01,7.874703e+01,1.018000e+01,2.650000e+01,,1.290655e+02,BT,,,,,,,,,
J1342+2822B,,2.037572e+09,2.389421e-03,1.858000e-20,2.132157e+08,,,4.222028e+01,7.870877e+01,1.018000e+01,2.614800e+01,,1.290655e+02,ELL1,,,,,,,,,
J1342+2822C,,,2.166000e-03,,,,,4.221669e+01,7.870693e+01,1.018000e+01,2.650000e+01,,1.290655e+02,,,,,,,,,,
J1342+2822D,,,5.442975e-03,,,,,4.221539e+01,7.871208e+01,1.018000e+01,2.635800e+01,,1.290655e+02,DD,,,7.530000e-02,,,,,,
J1342+2822E,,,5.470000e-03,,,,,4.221669e+01,7.870693e+01,1.018000e+01,2.654100e+01,,1.290655e+02,,,,,,,,,,
J1342+2822F,,,4.400000e-03,,,,,4.221669e+01,7.870693e+01,1.018000e+01,2.646700e+01,,1.290655e+02,,,,,,,,,,
J1518+0204A,,2.130615e+09,5.553593e-03,4.129858e-20,4.846236e+08,,,3.870408e+00,4.680226e+01,8.000000e+00,3.000000e+01,,4.114027e+02,,,,,,,,,,
J1518+0204B,,,7.946941e-03,-3.307999e-21,,,,3.859475e+00,4.680618e+01,8.000000e+00,2.946900e+01,,4.403701e+02,DDGR,,,1.378390e-01,,,,,,
J1518+0204C,,1.509077e+09,2.483928e-03,2.607916e-20,2.575528e+08,,,3.855850e+00,4.679708e+01,8.000000e+00,2.931090e+01,,4.044435e+02,BTX,,,0.000000e+00,,,,,,
J1518+0204D,,2.134505e+09,2.987976e-03,2.217921e-20,2.605023e+08,,,3.850624e+00,4.680679e+01,8.000000e+00,2.937100e+01,,4.198344e+02,ELL1,,,2.441311e-01,,,,,,
J1518+0204E,,2.810659e+09,3.182300e-03,1.793903e-20,2.417798e+08,,,3.854704e+00,4.679370e+01,8.000000e+00,2.931000e+01,,4.196315e+02,zfr+23,,,7.924645e-01,,,,,,
J1518+0204F,,1.901096e+09,2.654192e-03,2.212047e-20,2.451959e+08,,,3.862012e+00,4.680259e+01,8.000000e+00,2.940900e+01,,4.052148e+02,ELL1,,,3.982462e-01,,,,,,
J1518+0204G,,3.493681e+09,2.750187e-03,1.247226e-20,1.874147e+08,,,3.848948e+00,4.681499e+01,7.565000e+00,2.939450e+01,,,ELL1,,,0.000000e+00,,,,,,
J1546-3747A,,,2.605672e-03,,,,,3.370235e+02,1.326768e+01,1.054000e+01,9.217000e+01,,3.098167e+02,BT,,,,,,,,,
J1623-2631,,2.615538e+08,1.107575e-02,6.709314e-19,2.758517e+09,,,3.509763e+02,1.595996e+01,1.851000e+00,6.286330e+01,,1.997778e+02,BT,,,2.531545e-02,,,,,,
J1641+3627A,,,1.037751e-02,-7.269257e-20,,,,5.899969e+01,4.091352e+01,7.500000e+00,3.044000e+01,,1.445541e+02,,,,,,,,,,
J1641+3627B,,,3.528072e-03,-1.493675e-22,,,,5.897151e+01,4.091277e+01,7.500000e+00,2.944560e+01,,1.445541e+02,ELL1,,,2.828427e-06,,,,,,
J1641+3627C,,4.782887e+10,3.722082e-03,1.232996e-21,6.855258e+07,,,5.899528e+01,4.091269e+01,7.500000e+00,3.010000e+01,,1.445541e+02,,,,,,,,,,
J1641+3627D,,,3.118289e-03,-2.353142e-20,,,,5.900526e+01,4.090884e+01,7.500000e+00,3.040000e+01,,1.445541e+02,ELL1,,,5.729585e-04,,,,,,
J1641+3627E,,2.259145e+09,2.486982e-03,1.744193e-20,2.107578e+08,,,5.900755e+01,4.091029e+01,7.500000e+00,3.054000e+01,,1.445541e+02,ELL1,,,1.252996e-04,,,,,,
J1641+3627F,,3.403350e+09,3.003501e-03,1.398258e-20,2.073755e+08,,,5.902380e+01,4.090294e+01,7.420000e+00,3.036600e+01,,1.430122e+02,ELL1,,,5.385165e-06,,,,,,
J1657-0406A,,,4.730000e-03,,,,,1.513721e+01,2.307581e+01,5.070000e+00,4.390000e+01,,1.955967e+02,,,,,,,,,,
J1657-0406B,,,7.350000e-03,,,,,1.513721e+01,2.307581e+01,5.070000e+00,4.335500e+01,,1.955967e+02,,,,,,,,,,
J1701-3006A,,,5.241566e-03,-1.317007e-19,,,,3.535776e+02,7.322232e+00,6.410000e+00,1.149800e+02,,1.796745e+02,ELL1,,,0.000000e+00,,,,,,
J1701-3006B,,,3.593852e-03,-3.496186e-19,,,,3.535737e+02,7.318600e+00,6.410000e+00,1.134600e+02,,1.783597e+02,BTX,,,0.000000e+00,,,,,,
J1701-3006C,,,7.612849e-03,-6.332562e-20,,,,3.535718e+02,7.316284e+00,6.410000e+00,1.145500e+02,,1.822575e+02,ELL1,,,0.000000e+00,,,,,,
J1701-3006D,,3.992311e+08,3.417770e-03,1.356390e-19,6.889913e+08,,,3.535771e+02,7.317091e+00,6.410000e+00,1.142300e+02,,1.715869e+02,ELL1,,,4.120000e-04,,,,,,
J1701-3006E,,1.666507e+08,3.233737e-03,3.074424e-19,1.008984e+09,,,3.535755e+02,7.317223e+00,6.410000e+00,1.137900e+02,,1.487231e+02,BTX,,,0.000000e+00,,,,,,
J1701-3006F,,1.646864e+08,2.294727e-03,2.207696e-19,7.202531e+08,,,3.535735e+02,7.317704e+00,6.410000e+00,1.132900e+02,,1.817125e+02,ELL1,,,0.000000e+00,,,,,,
J1701-3006G,,,4.608103e-03,-1.145650e-19,,,,3.535781e+02,7.316407e+00,6.410000e+00,1.136700e+02,,1.759001e+02,ELL1,,,8.869278e-04,,,,,,
J1701-3006H,,1.549519e+09,3.704760e-03,3.788169e-20,3.790921e+08,,,3.535815e+02,7.319411e+00,4.851000e+00,1.147000e+02,,,BT,,,,,,,,,
J1701-3006I,,,3.295617e-03,-3.372531e-19,,,,3.535735e+02,7.318180e+00,4.719000e+00,1.133500e+02,,,ELL1,,,2.061553e-04,,,,,,
J1717+4308A,,8.189419e+08,3.159721e-03,6.113101e-20,4.447389e+08,,,6.833605e+01,3.486143e+01,8.500000e+00,3.545000e+01,,2.002351e+02,BTX,,,,,,,,,
J1721-1936,HE,9.795364e+06,1.004037e+00,1.624035e-15,1.292179e+12,,,4.857293e+00,9.738547e+00,8.000000e+00,7.570000e+01,,2.915860e+02,ELL1,,,6.403124e-03,,,,,,
J1737-0314A,,3.282794e+08,1.979976e-03,9.556138e-20,4.401707e+08,,,2.132595e+01,1.480681e+01,9.100000e+00,8.210000e+01,,2.676651e+02,BT,,,,,,,,,
J1737-0314B,,,8.520000e-03,,,,,2.132383e+01,1.480465e+01,9.100000e+00,8.100000e+01,,2.676651e+02,,,,,,,,,,
J1737-0314C,,,8.460000e-03,,,,,2.132383e+01,1.480465e+01,9.100000e+00,8.000000e+01,,2.676651e+02,,,,,,,,,,
J1737-0314D,,,2.890000e-03,,,,,2.132383e+01,1.480465e+01,9.100000e+00,7.880000e+01,,2.676651e+02,,,,,,,,,,
J1737-0314E,,,2.280000e-03,,,,,2.132383e+01,1.480465e+01,9.100000e+00,8.040000e+01,,2.676651e+02,,,,,,,,,,
J1740-5340A,,3.442617e+08,3.650329e-03,1.680000e-19,7.924477e+08,,,3.381649e+02,-1.196671e+01,2.482000e+00,7.180000e+01,,2.113176e+02,BT,,,,,,,,,
J1740-5340B,,,5.786968e-03,-6.028021e-21,,,,3.381656e+02,-1.196075e+01,2.482000e+00,7.220000e+01,,2.113176e+02,BTX,,,,,,,,,
J1748-2021A,,1.145068e+07,2.886028e-01,3.993331e-16,3.435326e+11,,,7.727916e+00,3.800877e+00,8.200000e+00,2.194000e+02,,1.629847e+02,,,,,,,,,,
J1748-2021B,,,1.676013e-02,-3.291327e-19,,,,7.728646e+00,3.800111e+00,8.200000e+00,2.209220e+02,,1.629847e+02,BT,,,5.701606e-01,,,,,,
J1748-2021C,,,6.226933e-03,-5.982935e-20,,,,7.721503e+00,3.803955e+00,8.200000e+00,2.269500e+02,,1.629847e+02,,,,,,,,,,
J1748-2021D,,3.644141e+08,1.349582e-02,5.867731e-19,2.847638e+09,,,7.733546e+00,3.808967e+00,8.200000e+00,2.249800e+02,,1.629847e+02,BT,,,,,,,,,
J1748-2021E,,8.247364e+08,1.626400e-02,3.124484e-19,2.281145e+09,,,7.730607e+00,3.801971e+00,8.200000e+00,2.241000e+02,,1.629847e+02,,,,,,,,,,
J1748-2021F,,,3.793629e-03,-1.054906e-20,,,,7.727292e+00,3.802121e+00,8.200000e+00,2.204300e+02,,1.629847e+02,BT,,,5.310800e-02,,,,,,
J1748-2446A,,,1.156315e-02,-3.400000e-20,,,,3.836243e+00,1.696326e+00,6.620000e+00,2.421500e+02,,1.759187e+02,BT,,,,,,,,,
J1748-2446C,,,8.436095e-03,-6.060000e-19,,,,3.840920e+00,1.689051e+00,6.620000e+00,2.370000e+02,,1.759187e+02,,,,,,,,,,
J1748-2446D,,,4.713980e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.436200e+02,,1.759187e+02,,,,,,,,,,
J1748-2446E,,,2.197800e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.366300e+02,,1.759187e+02,BT,,,2.000000e-02,,,,,,
J1748-2446F,,,5.540140e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.390700e+02,,1.759187e+02,,,,,,,,,,
J1748-2446G,,,2.167187e-02,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.373400e+02,,1.759187e+02,,,,,,,,,,
J1748-2446H,,,4.925890e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.379700e+02,,1.759187e+02,,,,,,,,,,
J1748-2446I,,,9.570190e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.385500e+02,,1.759187e+02,BT,,,4.280000e-01,,,,,,
J1748-2446J,,,8.033793e-02,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.342100e+02,,1.759187e+02,BT,,,3.500000e-01,,,,,,
J1748-2446K,,,2.969650e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.344600e+02,,1.759187e+02,,,,,,,,,,
J1748-2446L,,,2.244700e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.375000e+02,,1.759187e+02,,,,,,,,,,
J1748-2446M,,,3.569570e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.384900e+02,,1.759187e+02,BT,,,,,,,,,
J1748-2446N,,,8.666900e-03,,,,,3.839286e+00,1.686918e+00,6.620000e+00,2.382900e+02,,1.759187e+02,BT,,,4.500000e-05,,,,,,
